Type,Weight,Elevators,Winglets,theta,rou,result
C,95,55,1,45,105,47.8
C,95,60,1,45,105,47.5
C,95,65,1,45,105,46.6
C,95,70,1,45,105,45.5
C,95,75,1,45,105,44.3
C,95,80,1,45,105,42.8
C,95,85,1,45,105,41.3
C,95,30,1,40,110,11.3
C,95,35,1,40,110,14.0
C,95,40,1,40,110,32.2
C,95,45,1,40,110,39.8
C,95,50,1,40,110,43.2
C,95,55,1,40,110,45.2
C,95,60,1,40,110,46.2
C,95,65,1,40,110,46.4
C,95,70,1,40,110,46.2
C,95,75,1,40,110,45.4
C,95,80,1,40,110,44.5
C,95,85,1,40,110,43.4
C,95,40,1,43,110,42.6
C,95,45,1,43,110,45.4
C,95,50,1,43,110,46.8
C,95,55,1,43,110,47.5
C,95,60,1,43,110,47.6
C,95,65,1,43,110,47.2
C,95,70,1,43,110,46.4
C,95,75,1,43,110,45.3
C,95,80,1,43,110,43.9
C,95,85,1,43,110,42.6
C,100,30,1,43,110,27.8
C,100,35,1,43,110,36.7
C,100,40,1,43,110,41.7
C,100,45,1,43,110,44.6
C,100,50,1,43,110,46.4
C,100,55,1,43,110,47.3
C,100,60,1,43,110,47.5
C,100,65,1,43,110,47.2
C,100,70,1,43,110,46.7
C,100,75,1,43,110,45.7
C,100,80,1,43,110,44.4
C,100,85,1,43,110,43.1
C,100,0,1,50,80,28.2
C,100,5,1,50,80,31.5
C,100,10,1,50,80,35.2
C,100,15,1,50,80,38.4
C,100,20,1,50,80,41.1
C,100,25,1,50,80,43.0
C,100,30,1,50,80,44.7
C,100,35,1,50,80,45.8
C,100,40,1,50,80,46.2
C,100,45,1,50,80,46.1
C,100,50,1,50,80,45.8
C,100,55,1,50,80,45.1
C,100,60,1,50,80,44.2
C,100,65,1,50,80,42.8
C,100,70,1,50,80,41.4
C,100,75,1,50,80,40.0
C,100,80,1,50,80,38.3
C,100,85,1,50,80,36.8
C,100,10,1,50,90,33.1
C,100,15,1,50,90,37.0
C,100,20,1,50,90,40.5
C,100,25,1,50,90,43.2
C,100,30,1,50,90,45.4
C,100,35,1,50,90,46.6
C,100,40,1,50,90,47.5
C,100,45,1,50,90,47.5
C,100,50,1,50,90,47.2
C,100,55,1,50,90,46.6
C,100,60,1,50,90,45.5
C,100,65,1,50,90,44.3
C,100,70,1,50,90,43.1
C,100,75,1,50,90,41.5
C,100,20,1,50,95,40.3
C,100,25,1,50,95,43.3
C,100,30,1,50,95,45.3
C,100,35,1,50,95,47.0
C,100,40,1,50,95,47.9
C,100,45,1,50,95,48.1
C,100,50,1,50,95,47.8
C,100,55,1,50,95,47.2
C,100,60,1,50,95,46.1
C,100,65,1,50,95,45.0
C,100,70,1,50,95,43.6
C,100,75,1,50,95,42.0
