,Weight,Elevators,theta,rou,result
5571,39,16,38,90,11.4
8679,75,24,38,90,12.6
24935,80,10,52,75,39.5
18572,60,52,38,105,46.4
22551,18,64,35,85,34.2
21328,45,60,41,95,42.8
12609,24,36,38,105,47.5
3217,9,10,35,115,6.4
19650,9,56,41,105,7.5
26244,100,25,52,80,45.1
4658,9,14,41,110,15.3
18251,15,52,35,110,42.2
18781,90,52,38,100,41.9
11136,18,32,38,90,45.2
28252,100,49,48,70,44.3
17362,90,48,41,110,45.1
1306,100,80,55,80,35.3
18060,90,50,35,100,10.4
6346,48,18,35,115,5.7
22244,75,62,38,90,44.1
26094,40,25,48,80,46.4
7219,69,20,41,105,13.2
21897,24,62,41,105,7.5
13352,27,38,41,110,15.3
5829,75,16,41,85,18.6
8719,81,24,35,115,5.7
217,85,60,30,120,4.8
28912,60,58,48,70,39.7
13801,93,38,35,115,6.6
20377,12,58,38,100,29.6
8379,33,24,35,95,8.7
14478,87,40,38,110,11.9
18309,24,52,35,85,43.0
21110,15,60,38,90,31.9
28103,35,49,52,75,36.8
22874,63,64,38,90,43.9
10630,48,30,35,115,6.6
3198,6,10,38,90,10.7
3657,72,10,35,110,5.4
22033,45,62,38,85,42.1
24847,45,10,48,85,34.5
3978,15,12,38,105,8.0
10440,21,30,35,110,9.5
23956,52,68,41,110,15.3
12356,90,34,38,100,12.0
11102,12,32,41,95,48.1
9867,39,28,41,115,16.4
23191,6,66,38,100,15.4
2505,46,43,43,100,48.0
9104,33,26,38,115,7.2
11017,0,32,41,90,46.2
13985,18,40,35,95,45.8
7035,45,20,35,95,7.3
21264,36,60,41,90,40.4
3709,78,10,41,90,13.0
27717,85,43,52,65,44.3
4831,36,14,35,100,6.0
5889,84,16,38,105,7.2
26155,65,25,48,85,44.4
2114,68,36,43,105,44.6
14235,54,40,35,85,36.0
22537,15,64,38,85,28.0
85,25,30,30,100,4.9
18044,87,50,38,90,41.1
11599,84,32,38,95,13.5
7017,42,20,35,110,6.3
19815,33,56,41,90,41.6
2814,24,25,43,95,45.4
2161,62,46,43,105,48.0
28925,65,58,48,75,41.3
20092,72,56,41,110,47.5
10948,93,30,38,95,11.7
19214,51,54,35,95,44.4
1335,85,40,55,75,46.3
4809,33,14,35,95,6.6
16353,48,46,41,105,48.0
15139,81,42,35,90,11.7
26891,55,34,52,75,46.9
22348,90,62,38,85,43.0
7600,24,22,35,85,11.9
6866,21,20,35,90,9.1
6116,15,18,38,85,26.6
1343,80,35,55,75,47.0
26115,50,25,48,65,44.3
721,100,30,43,110,27.8
18306,21,52,41,105,7.5
16180,24,46,38,115,7.2
18627,69,52,35,100,41.5
21546,78,60,35,100,43.0
14286,60,40,38,95,40.9
2725,36,50,43,100,45.4
12561,18,36,35,110,46.9
19182,45,54,38,110,46.9
5243,93,14,41,95,12.0
1558,95,48,43,110,46.3
22409,99,62,35,110,11.6
6508,72,18,35,85,8.2
28368,40,52,52,80,0.4
24191,88,68,35,95,42.7
25241,0,16,48,75,46.8
17973,78,50,35,85,37.1
8044,87,22,35,100,6.0
8953,12,26,38,95,43.3
18774,90,52,35,100,11.7
3850,99,10,38,95,7.5
27895,55,46,48,85,46.2
11533,75,32,35,115,5.7
24443,61,71,35,95,42.8
27513,0,43,52,65,14.3
11373,51,32,41,85,42.1
2681,38,41,43,100,48.1
17153,60,48,41,115,16.4
21634,90,60,38,85,42.8
13332,24,38,41,115,16.4
19769,27,56,38,105,42.5
23454,45,66,35,85,41.5
22445,0,64,41,115,16.4
19105,33,54,41,110,15.3
22868,63,64,35,95,44.0
4427,78,12,41,110,9.2
9914,48,28,35,105,7.0
6015,0,18,38,105,35.5
8933,9,26,38,100,44.9
25002,5,13,48,80,44.4
14284,60,40,38,85,40.4
24246,94,68,41,90,44.2
8370,30,24,41,85,40.3
12144,60,34,38,90,34.8
11943,30,34,41,100,47.6
10027,63,28,38,110,9.0
12314,84,34,38,100,12.6
13147,0,38,35,100,45.4
27006,0,37,48,80,33.1
2459,46,34,43,100,46.7
3995,18,12,38,85,12.8
15956,93,44,41,115,42.4
22820,54,64,41,100,43.5
11378,51,32,41,110,15.3
15432,21,44,35,85,44.3
26451,85,28,48,65,42.7
14552,99,40,35,95,8.8
1812,82,49,43,105,47.1
21474,66,60,41,90,44.7
25585,35,19,52,85,1.3
9757,24,28,41,90,45.0
11704,99,32,38,95,12.3
11554,78,32,35,115,5.7
10021,63,28,35,115,5.7
26838,35,34,48,80,47.0
8362,30,24,35,115,6.6
11227,30,32,41,90,45.8
28657,55,55,52,85,1.3
18237,12,52,38,110,6.8
25918,70,22,52,70,45.0
18243,12,52,41,105,7.5
21699,99,60,38,95,42.9
4066,27,12,41,90,17.9
2818,20,26,43,95,46.8
8893,3,26,38,110,6.8
548,65,85,43,100,35.8
26595,40,31,48,65,45.1
27631,50,43,48,85,46.5
26767,5,34,48,85,3.4
8656,72,24,35,115,5.7
5943,93,16,35,95,6.5
24092,73,68,38,90,43.5
21639,90,60,38,110,45.6
26926,70,34,52,70,46.0
4615,3,14,41,105,7.5
21136,18,60,38,115,7.2
24336,46,71,35,85,40.1
14645,9,42,38,105,45.1
9543,96,26,38,105,8.8
6648,90,18,41,85,18.6
19189,45,54,41,110,15.3
19049,27,54,35,110,45.0
4739,21,14,41,95,20.2
14894,45,42,38,90,44.4
27505,100,40,52,85,47.6
10107,75,28,38,90,14.9
26218,90,25,52,70,44.9
2195,60,53,43,105,47.5
19399,75,54,41,110,47.5
4013,21,12,35,105,6.1
16080,9,46,41,105,7.5
22200,69,62,35,115,46.0
19801,33,56,35,90,43.5
8947,12,26,35,100,14.0
28552,15,55,48,70,21.0
12297,81,34,41,85,37.7
19516,93,54,38,100,42.3
6307,42,18,38,95,11.0
20572,39,58,41,95,42.2
2226,62,59,43,105,46.1
10852,78,30,41,105,28.5
1480,5,35,55,60,29.4
18287,18,52,41,115,16.4
5275,99,14,35,115,4.8
14623,6,42,38,100,43.6
14631,6,42,41,105,7.5
7947,72,22,38,105,8.8
9913,48,28,35,100,7.5
8230,12,24,35,85,32.4
3846,99,10,35,110,4.6
1417,40,35,55,65,43.7
14709,18,42,38,110,6.8
11734,0,34,41,105,7.5
22469,6,64,35,95,20.8
19892,45,56,38,90,44.4
27801,15,46,52,65,16.4
22374,93,62,38,110,45.5
20276,99,56,41,85,43.8
2420,50,58,43,100,44.5
18485,48,52,38,90,45.0
8481,45,24,41,115,16.4
14,10,60,35,50,29.8
11289,39,32,41,85,44.0
13844,99,38,38,85,27.4
21469,66,60,38,100,45.5
19309,63,54,38,115,47.4
23998,58,68,41,110,15.3
20037,66,56,35,115,45.5
6948,30,20,41,115,16.4
8521,51,24,41,105,28.1
15321,3,44,41,90,35.9
15525,33,44,38,95,46.2
22081,51,62,38,115,7.2
8726,81,24,38,115,7.6
28038,10,49,48,80,24.9
19968,57,56,35,85,42.9
12459,3,36,38,90,45.6
13690,78,38,35,85,13.6
12947,72,36,38,115,10.0
23015,84,64,35,95,42.5
4868,39,14,41,110,15.3
9968,54,28,41,95,37.2
18088,93,50,38,100,40.3
9938,51,28,38,85,30.0
7782,48,22,41,85,33.0
473,65,10,36,100,6.0
27957,80,46,52,65,43.7
15383,12,44,41,85,41.6
28782,5,58,48,80,9.6
11547,75,32,41,115,16.4
27273,5,40,52,65,25.5
17696,36,50,41,100,46.0
15670,54,44,38,85,43.3
14952,54,42,35,100,38.1
15847,78,44,41,95,43.8
19611,6,56,35,85,31.8
10557,36,30,41,100,44.5
23279,18,66,41,85,24.2
23742,84,66,41,90,44.4
3640,69,10,38,95,8.2
12369,93,34,35,95,8.1
17999,81,50,35,110,8.8
5151,81,14,38,90,9.4
19986,57,56,41,105,46.8
19831,36,56,38,100,44.4
18107,96,50,38,90,39.5
23079,93,64,35,100,42.1
14569,99,40,41,110,37.0
18824,96,52,38,105,41.4
11325,45,32,38,90,38.0
6694,96,18,41,105,11.2
15318,3,44,38,110,6.8
10030,63,28,41,90,35.5
7612,24,22,38,110,10.5
19397,75,54,41,100,46.6
3786,90,10,38,90,8.7
72,20,50,30,100,44.2
1836,87,51,43,105,47.1
22300,84,62,35,90,41.5
2095,64,33,43,105,43.5
943,25,20,50,80,47.1
18829,96,52,41,95,44.3
14311,63,40,38,115,40.8
1600,90,60,43,110,47.6
21104,15,60,35,95,35.5
16963,33,48,41,110,15.3
6480,66,18,41,85,22.1
6663,93,18,38,90,10.1
2992,18,19,43,95,41.2
21677,96,60,38,90,42.8
1416,40,30,55,65,45.5
5474,24,16,41,95,24.5
3484,48,10,35,85,7.5
4204,48,12,35,115,4.8
24765,10,10,52,65,44.1
16306,42,46,38,115,7.2
8975,15,26,38,100,42.4
12825,54,36,41,100,44.5
7156,60,20,41,105,14.5
7326,84,20,41,115,16.4
27657,60,43,52,65,43.2
13878,3,40,35,85,43.7
1676,91,49,43,110,47.1
20277,99,56,41,90,44.3
1565,95,57,43,110,47.6
5322,3,16,38,105,12.2
6109,15,18,35,85,10.7
19415,78,54,41,85,44.6
27502,100,40,52,70,45.4
397,10,60,40,100,22.6
15834,78,44,35,100,9.7
817,80,40,50,90,48.0
3597,63,10,38,90,8.7
18087,93,50,38,95,40.1
10719,60,30,38,105,11.6
20347,9,58,35,90,31.1
4053,27,12,35,95,6.5
12685,36,36,35,100,38.7
20947,93,58,38,115,45.5
5948,93,16,38,85,10.5
